City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Guerrero Negro,MX,27.9769,-114.0611,85.46,42,81,10.78,broken clouds
1,Chatra,IN,24.2167,84.8667,73.38,91,93,3.51,overcast clouds
2,Wanlaweyn,SO,2.6185,44.8938,76.75,80,24,11.43,few clouds
3,Mehamn,NO,71.0357,27.8492,53.51,72,100,32.17,overcast clouds
4,Khatanga,RU,71.9667,102.5,19.26,93,99,12.68,overcast clouds
5,Mar Del Plata,AR,-38.0023,-57.5575,51.01,58,0,13.0,clear sky
6,Hermanus,ZA,-34.4187,19.2345,52.9,71,60,9.71,light rain
7,Victoria,HK,22.2855,114.1577,84.33,81,88,1.99,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,48.47,83,100,8.55,light rain
9,Pleshanovo,RU,52.8333,53.4833,46.29,73,100,7.58,overcast clouds
10,Cabo San Lucas,MX,22.8909,-109.9124,88.18,65,20,10.36,few clouds
11,Hithadhoo,MV,-0.6,73.0833,82.96,77,77,19.06,broken clouds
12,Kaeo,NZ,-35.1,173.7833,63.32,97,100,8.21,overcast clouds
13,Shahrud,IR,36.4182,54.9763,57.47,62,0,2.08,clear sky
14,Sorland,NO,67.667,12.6934,51.82,84,100,23.22,light rain
15,Road Town,VG,18.4167,-64.6167,84.29,74,40,9.22,scattered clouds
16,Ushuaia,AR,-54.8,-68.3,38.86,75,75,27.63,light intensity drizzle
17,Pierre,US,44.3683,-100.351,83.28,33,1,1.99,clear sky
18,Nikolskoye,RU,59.7035,30.7861,45.88,91,0,6.96,clear sky
19,Inongo,CD,-1.95,18.2667,70.11,98,89,3.27,moderate rain
20,Punta Arenas,CL,-53.15,-70.9167,42.91,65,0,27.63,clear sky
21,Provideniya,RU,64.3833,-173.3,33.91,69,75,4.47,broken clouds
22,Baruun-Urt,MN,46.6806,113.2792,32.7,88,11,5.26,few clouds
23,Aktau,KZ,43.65,51.2,54.18,33,100,21.0,overcast clouds
24,Cherskiy,RU,68.75,161.3,17.76,97,94,2.75,overcast clouds
25,Emerald,AU,-23.5333,148.1667,77.34,60,0,12.39,clear sky
26,Castro,BR,-24.7911,-50.0119,62.67,99,100,3.24,moderate rain
27,Lebu,CL,-37.6167,-73.65,50.59,74,0,20.89,clear sky
28,Price,US,39.5994,-110.8107,76.71,21,1,6.91,clear sky
29,Thompson,CA,55.7435,-97.8558,62.76,51,75,5.75,smoke
30,Port Alfred,ZA,-33.5906,26.891,55.13,77,29,7.52,light rain
31,Hobart,AU,-42.8794,147.3294,56.05,95,75,1.01,broken clouds
32,Cape Town,ZA,-33.9258,18.4232,56.08,60,20,12.66,few clouds
33,Port Blair,IN,11.6667,92.75,80.11,82,24,7.07,few clouds
34,Atuona,PF,-9.8,-139.0333,77.81,75,14,17.49,few clouds
35,Majene,ID,-3.5403,118.9707,76.68,87,100,4.05,overcast clouds
36,Bonavista,CA,48.6499,-53.1147,55.11,88,92,11.61,overcast clouds
37,Dikson,RU,73.5069,80.5464,34.86,98,100,23.98,light rain
38,Chicama,PE,-7.8447,-79.1469,61.34,68,45,9.46,scattered clouds
39,Salalah,OM,17.0151,54.0924,80.69,89,75,8.05,broken clouds
40,Pevek,RU,69.7008,170.3133,24.42,91,100,5.03,overcast clouds
41,Kodiak,US,57.79,-152.4072,45.91,46,1,13.8,clear sky
42,Iranshahr,IR,27.2025,60.6848,82.26,35,97,2.73,overcast clouds
43,Hasaki,JP,35.7333,140.8333,68.4,80,0,10.02,clear sky
44,Moroto,UG,2.5345,34.6666,72.1,64,59,2.44,light rain
45,Aschersleben,DE,51.75,11.4667,65.95,64,100,14.43,overcast clouds
