City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Guerrero Negro,MX,85.46,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
2,Wanlaweyn,SO,76.75,few clouds,2.6185,44.8938,GAASHAAN HOME
7,Victoria,HK,84.33,overcast clouds,22.2855,114.1577,Mini Hotel Central
10,Cabo San Lucas,MX,88.18,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
11,Hithadhoo,MV,82.96,broken clouds,-0.6,73.0833,Scoop Guest House
15,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
17,Pierre,US,83.28,clear sky,44.3683,-100.351,Ramkota Hotel
25,Emerald,AU,77.34,clear sky,-23.5333,148.1667,The Irish Village
28,Price,US,76.71,clear sky,39.5994,-110.8107,National 9 - Price River Inn
33,Port Blair,IN,80.11,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
34,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Villa Enata
35,Majene,ID,76.68,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
39,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
42,Iranshahr,IR,82.26,overcast clouds,27.2025,60.6848,نیک سرشت
47,Puerto Ayora,EC,75.16,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
55,Inirida,CO,81.7,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
75,Faanui,PF,78.78,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
76,Avera,US,82.71,overcast clouds,33.194,-82.5271,
77,Buala,SB,82.62,light rain,-8.145,159.5921,Maringe Lagoon Lodge
79,Vaini,TO,77.16,overcast clouds,-21.2,-175.2,Keleti Beach Resort
83,Garowe,SO,75.65,broken clouds,8.4054,48.4845,Curubo Hotel
88,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
90,Vilhena,BR,80.82,few clouds,-12.7406,-60.1458,Hotel Mirage
98,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Jiwani,PK,81.45,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
104,Muscat,OM,78.82,overcast clouds,23.6139,58.5922,Mutrah Hotel
110,Safaga,EG,78.75,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
115,Itupiranga,BR,86.32,overcast clouds,-5.1347,-49.3267,Hotel Panorama
121,Butaritari,KI,82.42,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
123,Hilo,US,82.13,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
129,Kalugumalai,IN,79.86,overcast clouds,9.15,77.7167,Ganesh Bhavan(Sangu Hotel)
135,Paddhari,IN,79.09,clear sky,22.4333,70.6,Rajarammohanrai Tea Stall
136,Sao Gabriel Da Cachoeira,BR,89.4,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
137,Morehead,US,80.35,scattered clouds,37.2711,-87.1764,CCI Express Inn
141,Ugoofaaru,MV,81.63,scattered clouds,5.6667,73.0,Ungoofaaru Inn
143,Vaitape,PF,78.78,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
